tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
1311;22.20;64.1;1625;0.29;0.46;8.30;-1.14;0.54;-0.18;18.83;1013.9;0.1
1332;22.30;64.0;0;0.06;0.47;8.38;-1.55;-1.73;0.72;18.87;1013.8;0.1
1352;22.40;63.9;1631;0.39;-0.22;8.10;-25.91;-5.31;6.83;18.93;1013.8;0.1
1373;22.40;63.7;0;0.59;0.82;8.06;-0.42;1.63;-4.95;18.98;1013.8;0.1
1393;22.50;63.6;1631;0.55;0.11;11.32;5.17;-10.52;-2.13;19.04;1013.8;0.1
1414;22.60;63.5;0;0.20;1.26;8.41;-0.19;6.93;-3.86;19.09;1013.8;0.1
1434;22.60;63.3;1625;0.25;-0.17;9.21;-1.97;-14.20;-4.13;19.14;1013.8;0.1
1454;22.70;63.2;0;-0.67;0.69;8.12;1.55;-4.78;4.91;19.19;1013.8;0.1
1474;22.80;63.0;1619;0.36;-0.37;8.57;-1.39;-0.09;0.47;19.24;1013.8;0.1
1495;22.80;62.9;0;-1.95;-0.66;7.58;-12.04;-4.00;-8.40;19.28;1013.8;0.1
1515;22.90;62.8;1650;0.52;-1.00;9.93;-2.28;-2.82;3.71;19.33;1013.8;0.1
1536;22.90;62.6;0;-1.74;0.45;9.24;-6.29;-23.22;-8.46;19.39;1013.8;0.1
1556;23.00;62.6;1638;0.92;-0.70;9.55;2.27;-16.65;-7.11;19.43;1013.8;0.1
1577;23.00;62.4;0;1.29;-0.65;8.61;1.22;9.31;-1.65;19.48;1013.9;0.1
1597;23.10;62.3;1631;0.14;-0.21;8.72;-0.71;1.05;0.28;19.52;1013.8;0.1
1618;23.10;62.2;0;0.31;-0.58;8.55;-1.16;-13.69;-4.73;19.56;1013.8;0.1
1638;23.20;62.1;1631;0.48;-0.50;8.43;-4.11;-2.10;1.03;19.61;1013.8;0.1
1659;23.20;62.0;0;-0.13;-1.01;8.86;-2.17;0.00;1.33;19.65;1013.9;0.1
1679;23.30;61.9;1631;0.15;-0.82;8.75;-1.26;6.22;5.64;19.69;1013.9;0.1
1700;23.30;61.8;0;0.39;-0.80;8.44;-1.47;-3.30;-5.95;19.73;1013.9;0.1
1720;23.30;61.8;1644;0.04;-0.91;9.79;-0.87;0.11;0.09;19.77;1013.9;0.1
1741;23.40;61.7;0;0.08;-0.95;9.68;-1.06;-0.11;0.89;19.81;1014.0;0.1
1761;23.40;61.6;1650;0.04;-0.88;9.67;-0.68;-0.53;0.41;19.84;1013.9;0.1
1782;23.50;61.5;0;0.09;-1.06;9.63;-1.29;0.48;-1.01;19.88;1013.9;0.1
1802;23.60;61.4;1669;0.20;-0.89;9.73;-1.10;0.15;0.27;19.93;1013.9;0.1
1822;23.60;61.2;0;0.04;-1.01;9.74;-0.77;-0.04;0.64;19.96;1013.9;0.1
1842;23.60;61.1;1681;0.00;-0.98;9.77;-1.01;-0.01;0.52;20.00;1014.0;0.1
1863;23.70;61.1;0;0.46;-0.30;8.26;1.83;-4.72;-7.09;20.05;1014.0;0.1
1883;23.70;61.0;1688;0.37;-0.80;9.02;0.74;-3.93;-1.11;20.08;1014.0;0.1
1904;23.80;60.9;0;0.38;-0.76;8.56;-4.06;-21.82;-15.28;20.11;1013.9;0.1
1924;23.80;60.9;1700;0.29;-0.80;9.50;2.74;3.94;1.31;20.16;1014.0;0.1
1945;23.80;60.8;0;0.22;-0.64;8.51;-1.06;0.07;0.60;20.18;1014.0;0.1
1965;23.90;60.7;1706;0.22;-0.60;8.43;-0.78;0.04;0.54;20.20;1013.9;0.1
1986;23.90;60.6;0;-0.85;-0.45;8.55;24.33;5.64;3.06;20.24;1014.0;0.1
2006;23.90;60.6;1719;-0.40;-1.30;11.13;-0.70;-0.11;0.54;20.27;1013.9;0.1
2027;24.00;60.5;0;-0.42;-1.17;11.20;-0.81;0.21;0.50;20.31;1013.9;0.1
2047;24.00;60.4;1725;-0.79;-0.10;9.52;31.21;6.31;3.16;20.34;1014.0;0.1
2068;24.00;60.4;0;0.25;-0.71;8.66;-1.36;-1.01;0.01;20.37;1014.0;0.1
2088;24.00;60.3;1700;0.21;-0.61;8.64;-0.93;-0.05;0.37;20.40;1014.0;0.1
2109;24.10;60.3;0;0.12;-0.71;8.62;-0.28;1.53;-1.08;20.42;1014.1;0.1
2129;24.10;60.3;1706;0.21;-0.64;8.54;-1.07;-0.02;0.48;20.47;1014.0;0.1
2150;24.10;60.3;0;0.19;-0.61;8.58;-0.93;0.02;0.39;20.48;1014.0;0.1
2170;24.20;60.2;1700;0.20;-0.66;8.55;-0.93;-0.10;0.55;20.52;1014.0;0.1
2190;24.20;60.1;0;0.19;-0.64;8.62;-1.00;0.02;0.54;20.54;1014.0;0.1
2210;24.20;60.1;1706;0.23;-0.61;8.64;-1.05;0.08;0.42;20.58;1014.0;0.1
2231;24.30;60.0;0;0.23;-0.60;8.62;-0.90;0.05;0.39;20.59;1014.1;0.1
2251;24.30;60.0;1694;0.04;0.31;10.14;-47.79;-9.75;15.82;20.62;1014.1;0.1
2272;24.30;59.9;0;-0.53;0.47;9.79;-21.57;135.41;-102.59;20.65;1014.1;0.1
2292;24.30;59.9;1619;0.26;-0.83;9.50;-0.34;2.15;1.66;20.67;1014.4;0.0
2313;24.30;59.9;0;0.20;-0.72;9.01;-0.86;0.09;0.40;20.69;1014.4;0.0
2333;24.30;59.9;1625;0.16;-0.74;9.02;-0.93;0.15;0.47;20.70;1014.4;0.0
2354;24.30;59.8;0;0.15;-0.72;8.99;-0.95;0.02;0.31;20.73;1014.4;0.0
2374;24.30;59.8;1619;0.18;-0.68;9.02;-0.87;0.02;0.48;20.75;1014.4;0.0
2395;24.30;59.8;0;0.23;-0.72;8.99;-0.80;-0.27;0.50;20.76;1014.4;0.0
2415;24.30;59.7;1613;0.21;-0.73;9.04;-1.00;0.08;0.49;20.77;1014.3;0.0
2436;24.40;59.7;0;0.18;-0.68;9.03;-0.97;-0.03;0.44;20.80;1014.4;0.0
2456;24.40;59.6;1600;0.15;-0.72;9.00;-0.99;0.16;0.57;20.81;1014.3;0.0
2477;24.40;59.6;0;0.19;-0.73;9.01;-0.93;0.12;0.53;20.82;1014.4;0.0
2497;24.40;59.6;1594;0.11;-0.75;8.96;-1.03;-0.07;0.34;20.82;1014.4;0.0
2517;24.40;59.5;0;0.12;-0.67;8.99;-0.93;0.06;0.41;20.82;1014.4;0.1
2538;24.40;59.5;1588;0.21;-0.69;8.99;-1.03;0.09;0.41;20.84;1014.4;0.1
2558;24.40;59.5;0;0.14;-0.73;9.01;-1.04;-0.07;0.44;20.85;1014.5;0.1
2578;24.30;59.5;1588;0.21;-0.69;9.01;-0.90;-0.11;0.47;20.86;1014.4;0.1
2599;24.30;59.5;0;0.87;-0.54;8.77;-16.06;5.58;-3.29;20.85;1014.4;0.1
2619;24.30;59.5;1575;0.16;-0.23;9.05;-1.01;0.02;0.27;20.85;1014.4;0.1
2640;24.30;59.5;0;0.17;-0.21;9.02;-0.87;-0.04;0.34;20.86;1014.4;0.1
2660;24.30;59.5;1563;0.16;-0.32;8.92;-1.07;0.16;0.52;20.87;1014.5;0.1
2681;24.30;59.5;0;0.16;-0.22;9.00;-0.87;0.05;0.41;20.87;1014.5;0.1
2701;24.30;59.5;1556;0.18;-0.30;8.91;-0.96;-0.06;0.44;20.88;1014.4;0.1
