tempo_s;tDHT_C;hDHT_%;ax;ay;az;gx;gy;gz;tBMP_C;pBMP_hPa;gas_ppm
9468;5.10;27.0;0;0.90;-0.27;10.54;-55.08;-2.63;3.91;8.57;120.3;0.2
9488;4.90;27.5;-3444;0.58;-0.47;10.53;-34.09;9.91;1.53;8.39;118.3;0.1
9509;4.70;27.2;0;-0.60;-0.32;10.31;33.26;1.47;19.25;8.23;116.3;0.2
9529;4.50;27.6;-3450;-0.24;-0.57;10.27;12.10;0.25;-9.64;8.10;114.4;0.2
9550;4.30;27.6;0;-0.75;-0.30;10.15;48.13;-9.22;24.24;7.95;112.5;0.2
9570;4.10;27.7;-3400;-1.03;-0.45;10.12;20.16;1.28;6.35;7.81;110.7;0.2
9591;3.90;27.7;0;1.79;-0.43;10.54;-74.06;34.97;-12.46;7.64;109.1;0.2
9611;3.70;27.7;-3444;-0.90;-0.84;10.08;-56.94;17.05;-15.25;7.47;106.9;0.1
9632;3.50;27.6;0;1.08;-0.35;10.47;-37.31;32.61;0.89;7.30;105.3;0.1
9652;3.40;28.0;-3419;-1.35;-0.39;10.09;60.63;1.95;5.80;7.16;103.8;0.1
9673;3.20;28.2;0;0.54;-0.34;10.55;15.58;8.05;5.14;7.02;102.3;0.2
9693;3.00;28.3;-3231;1.63;-0.32;10.59;12.47;10.85;13.07;6.87;100.7;0.2
9714;2.90;28.8;0;-0.45;-0.55;10.33;-4.29;-9.03;-12.56;6.73;99.2;0.2
9734;2.70;28.4;-3288;1.21;-0.33;10.63;-52.37;-14.12;0.31;6.57;97.5;0.2
9755;2.50;28.8;0;-0.52;-0.43;10.28;-60.97;5.69;-23.34;6.43;96.0;0.2
9775;2.40;29.0;-3275;0.34;-0.48;10.66;73.17;-8.53;9.31;6.26;94.4;0.2
9796;2.20;28.9;0;1.44;-0.41;10.71;69.81;-10.85;25.51;6.15;93.0;0.2
9816;2.10;29.0;-3300;0.54;-0.42;10.44;47.20;5.16;12.31;6.03;91.5;0.2
9836;2.00;29.3;0;0.21;-0.31;10.51;23.06;-17.92;15.87;5.92;90.0;0.3
9856;1.90;29.6;-3306;-1.54;-0.32;9.97;11.29;2.24;0.57;5.79;88.5;0.3
9877;1.70;30.0;0;2.19;-0.05;10.67;-34.43;-14.40;7.16;5.68;87.2;0.3
9897;1.60;29.9;-3225;-0.22;-0.01;10.31;-34.55;16.69;-11.20;5.54;85.7;0.3
9918;1.50;29.8;0;0.91;-0.34;10.65;-4.21;-4.19;-0.82;5.40;84.0;0.3
9938;1.40;29.9;-3144;-0.91;-0.45;10.17;64.76;-7.25;37.01;5.29;82.6;0.3
9959;1.30;29.9;0;2.97;-0.62;11.23;47.12;-14.27;-18.46;5.19;81.2;0.3
9979;1.20;30.2;-3144;-0.55;-0.50;10.27;35.60;10.41;-3.38;5.09;79.8;0.3
10000;1.20;29.9;0;0.43;-0.58;10.58;49.59;6.38;-12.07;4.97;78.5;0.3
10020;1.10;30.6;-3319;0.49;-0.37;10.52;35.11;-8.43;10.18;4.87;77.3;0.3
10041;1.00;30.6;0;2.06;-0.19;10.85;24.78;-3.96;23.98;4.79;76.1;0.3
10061;1.00;30.5;-3125;0.13;-0.37;10.47;31.91;11.07;-7.60;4.68;74.8;0.3
10082;0.90;30.6;0;1.25;-0.55;10.76;-2.13;-18.48;-33.49;4.56;73.6;0.3
10102;0.80;30.7;-3163;1.42;-0.45;10.84;-39.64;-9.22;-16.75;4.47;72.4;0.3
10123;0.80;30.6;0;0.10;-0.47;10.54;-38.54;17.01;-20.45;4.37;71.3;0.3
10143;0.70;30.4;-3031;0.41;-0.30;10.49;13.49;-19.99;-0.49;4.27;70.2;0.3
10164;0.70;30.8;0;1.97;-0.54;11.08;70.29;-5.88;3.44;4.18;68.9;0.3
10184;0.60;31.0;-3050;0.69;-0.36;10.72;-10.45;-17.90;-20.17;4.09;67.7;0.3
10204;0.60;30.6;0;1.37;-0.24;10.55;-3.52;3.64;14.28;4.00;66.5;0.3
10225;0.50;30.8;-3056;0.49;-0.36;10.52;-16.68;8.54;-5.11;3.90;65.3;0.3
10245;0.50;30.7;0;2.06;-0.53;10.98;25.10;-6.89;-13.78;3.81;64.2;0.3
10265;0.40;31.0;-2963;-0.08;-0.44;10.48;-57.84;-9.15;-8.28;3.72;63.2;0.3
10286;0.40;31.1;0;1.10;-0.40;10.86;-22.13;-8.95;-14.27;3.64;62.2;0.3
10306;0.30;31.5;-2888;0.52;-0.38;10.62;-46.91;-3.54;-12.08;3.56;61.2;0.3
10327;0.30;31.0;0;1.10;-0.32;10.74;-40.66;-8.85;0.33;3.48;60.2;0.3
10347;0.20;31.1;-2725;0.46;-0.40;10.65;-31.38;2.57;-18.03;3.39;59.3;0.3
10368;0.20;31.5;0;-0.94;-0.33;10.24;-9.29;-3.50;0.34;3.33;58.4;0.3
10388;0.10;31.1;-2756;1.01;-0.35;10.65;-38.25;0.96;0.48;3.25;57.5;0.4
10409;0.10;31.5;0;0.27;-0.46;10.56;-33.34;2.86;-14.29;3.18;56.6;0.3
10429;0.10;31.2;-2606;0.87;-0.37;10.77;-36.07;-11.97;-8.14;3.11;55.7;0.4
10450;0.00;31.5;0;0.15;-0.40;10.64;-45.97;-12.53;-14.61;3.05;54.9;0.3
10470;0.00;31.3;-2494;-0.27;-0.44;10.53;-44.01;-18.68;-20.79;2.98;54.1;0.3
10491;0.00;31.2;0;1.64;-0.30;10.98;-40.56;-14.50;1.96;2.93;53.3;0.4
10511;0.00;31.6;-2494;0.27;-0.41;10.72;-35.95;-9.79;-8.88;2.86;52.5;0.4
10532;0.00;31.2;0;0.71;-0.45;10.81;-31.06;-8.04;-14.46;2.81;51.7;0.4
10552;0.00;31.5;-2375;0.26;-0.40;10.64;-44.73;-8.16;-10.92;2.76;50.9;0.4
10573;0.00;31.4;0;0.09;-0.42;10.65;-48.47;-14.33;-4.52;2.70;50.2;0.4
10593;0.00;31.3;-2350;0.08;-0.35;10.62;-40.06;-11.49;-16.29;2.66;49.4;0.4
10613;0.00;31.8;0;0.65;-0.30;10.75;-38.71;-7.49;-6.58;2.62;48.7;0.4
10633;0.00;31.5;-2256;0.29;-0.37;10.67;-37.96;-7.53;-11.89;2.57;48.0;0.4
10654;0.00;31.5;0;0.86;-0.39;10.74;-46.50;-14.10;-13.24;2.53;47.3;0.4
10674;0.00;31.9;-2169;1.43;-0.36;10.93;-41.90;-15.84;-3.17;2.47;46.6;0.4
10695;0.00;31.6;0;0.63;-0.39;10.70;-35.69;-13.41;-2.75;2.43;45.9;0.4
10715;0.00;31.5;-2131;0.25;-0.37;10.69;-37.22;-12.91;-11.99;2.39;45.1;0.4
10736;0.00;31.7;0;-0.04;-0.38;10.51;-32.13;-10.51;-10.95;2.35;44.6;0.4
10756;0.00;31.6;-2044;1.33;-0.39;10.91;-40.81;-13.61;-12.69;2.31;43.9;0.4
10777;0.00;31.9;0;2.17;-0.30;11.16;-35.89;-22.17;-1.59;2.28;43.2;0.5
10797;0.00;31.8;-2019;0.33;-0.38;10.74;-34.48;-10.25;-17.72;2.24;42.6;0.4
10818;0.00;31.5;0;0.91;-0.41;10.88;-37.57;-11.47;-20.82;2.21;41.9;0.4
10838;0.00;32.0;-2031;0.39;-0.39;10.73;-44.27;-5.89;-20.45;2.17;41.2;0.4
10859;0.00;31.9;0;0.42;-0.36;10.75;-52.10;-19.09;-13.14;2.15;40.6;0.4
10879;0.00;31.9;-2094;-0.04;-0.38;10.60;-41.31;-9.75;-6.37;2.10;40.1;0.4
10900;0.00;32.4;0;1.02;-0.35;10.90;-35.15;-17.49;-3.04;2.09;39.5;0.5
10920;0.00;32.2;-1963;0.33;-0.33;10.68;-33.01;-14.51;-12.98;2.06;38.9;0.4
10941;0.10;31.9;0;0.06;-0.37;10.67;-44.00;-9.14;-21.98;2.03;38.3;0.4
10961;0.10;32.4;-1944;0.19;-0.35;10.62;-41.58;-5.87;-8.85;2.01;37.6;0.4
10981;0.10;32.2;0;0.93;-0.30;10.84;-40.00;-13.75;-14.72;1.98;37.2;0.4
11002;0.10;32.2;-1856;0.23;-0.32;10.64;-38.35;-17.89;-7.33;1.96;36.7;0.4
11022;0.20;32.7;0;0.31;-0.41;10.59;-32.34;-10.70;-14.82;1.94;36.1;0.4
11042;0.20;32.4;-1756;0.39;-0.34;10.69;-31.66;-5.45;-13.42;1.92;35.7;0.4
11063;0.20;32.3;0;1.37;-0.39;11.00;-38.39;-18.35;-10.62;1.90;35.1;0.4
11083;0.30;32.7;-1719;0.68;-0.36;10.73;-34.81;-14.49;-11.95;1.90;34.5;0.4
11104;0.30;32.4;0;0.66;-0.30;10.74;-39.32;-16.18;-11.00;1.86;34.1;0.4
11124;0.30;32.2;-1663;1.16;-0.40;10.99;-43.48;-15.30;-7.75;1.85;33.6;0.4
11145;0.40;32.7;0;0.71;-0.32;10.78;-44.98;-14.66;-8.31;1.83;33.1;0.4
11165;0.40;32.5;-1625;-0.41;-0.38;10.40;-48.39;-5.23;-7.54;1.82;32.6;0.4
11186;0.40;32.2;0;-0.15;-0.35;10.59;-35.15;-11.53;-7.71;1.82;32.1;0.4
11206;0.50;32.8;-1575;1.17;-0.39;10.88;-42.24;-18.46;-5.49;1.80;31.6;0.4
11227;0.50;32.5;0;1.09;-0.37;10.86;-31.33;-15.63;-9.66;1.79;31.2;0.4
11247;0.60;32.3;-1475;0.73;-0.34;10.75;-42.62;-18.78;-10.46;1.79;30.7;0.4
11268;0.60;32.7;0;1.13;-0.34;10.86;-43.10;-14.98;-8.10;1.78;30.3;0.4
11288;0.70;32.4;-1444;0.14;-0.33;10.66;-36.80;-12.57;-6.59;1.78;29.9;0.4
11309;0.70;32.4;0;-0.31;-0.35;10.50;-37.95;-8.47;-9.35;1.77;29.4;0.4
11329;0.70;32.7;-1425;0.21;-0.31;10.66;-34.97;-15.72;-2.66;1.77;29.1;0.5
11350;0.80;32.6;0;-0.06;-0.35;10.56;-30.45;-8.90;-10.89;1.76;28.6;0.4
11370;0.80;32.5;-1400;0.76;-0.36;10.78;-40.09;-13.75;-18.84;1.75;28.1;0.4
11390;0.90;32.5;0;-0.17;-0.32;10.55;-46.83;-11.97;-11.02;1.76;27.7;0.4
11410;0.90;32.8;-1406;1.16;-0.40;10.92;-43.48;-12.06;2.28;1.76;27.4;0.4
11431;1.00;32.6;0;0.64;-0.34;10.69;-33.16;-16.62;-2.65;1.77;27.0;0.4
11451;1.00;32.4;-1344;1.05;-0.35;10.95;-29.73;-7.72;-19.72;1.76;26.6;0.4
11472;1.10;32.7;0;2.23;-0.35;11.05;-47.63;-16.10;-18.13;1.77;26.3;0.4
11492;1.10;32.6;-1375;-0.25;-0.34;10.52;-39.71;-16.33;-2.91;1.77;25.8;0.3
11513;1.20;32.4;0;0.13;-0.39;10.57;-32.45;-11.56;0.94;1.77;25.5;0.3
11533;1.20;32.2;-1319;0.56;-0.33;10.74;-33.87;-16.38;-17.54;1.79;25.1;0.4
11554;1.30;32.4;0;0.57;-0.35;10.77;-39.23;-11.08;-20.92;1.79;24.7;0.3
11574;1.30;32.2;-1313;0.33;-0.32;10.62;-54.26;-2.83;-4.33;1.80;24.4;0.4
11595;1.40;32.2;0;-0.35;-0.33;10.45;-47.99;3.01;-3.01;1.80;24.0;0.3
11615;1.40;32.2;-1294;0.13;-0.31;10.63;-49.68;-1.17;-16.03;1.81;23.7;0.4
11636;1.50;32.3;0;0.86;-0.34;10.72;-23.26;7.37;-4.03;1.83;23.3;0.4
11656;1.60;32.7;-1363;1.01;-0.35;10.81;-61.24;5.53;-20.91;1.85;23.0;0.4
11677;1.60;32.4;0;1.50;-0.37;10.84;-48.06;4.10;-19.76;1.85;22.6;0.4
11697;1.70;32.3;-1313;0.74;-0.36;10.71;-43.93;12.67;-16.53;1.88;22.2;0.4
11718;1.70;32.6;0;-0.64;-0.28;10.45;-30.16;5.50;-10.12;1.88;21.9;0.4
11738;1.80;32.6;-1250;0.68;-0.24;10.74;-18.84;-0.88;7.07;1.90;21.6;0.3
11758;1.90;32.3;0;0.14;-0.29;10.70;12.09;-8.72;3.23;1.91;21.3;0.4
11779;2.00;32.5;-1306;-0.01;-0.25;10.58;-8.65;-1.38;-9.16;1.92;21.0;0.4
11799;2.00;32.3;0;-0.33;-0.34;10.47;61.97;-6.35;5.48;1.94;20.7;0.4
11819;2.10;32.4;-1231;-0.02;-0.29;10.55;33.33;-7.26;11.59;1.97;20.5;0.4
11840;2.20;32.1;0;-0.65;-0.27;10.36;17.42;2.81;2.77;1.97;20.2;0.4
11860;2.30;32.1;-1263;1.78;-0.31;10.99;30.32;12.40;5.23;2.00;19.9;0.3
11881;2.30;32.0;0;0.52;-0.34;10.75;19.03;2.45;12.63;2.02;19.6;0.3
11901;2.40;32.2;-1163;0.34;-0.37;10.63;25.07;-4.17;10.89;2.04;19.3;0.3
11922;2.50;31.8;0;-0.01;-0.35;10.53;-31.78;7.22;-6.80;2.07;19.0;0.4
11942;2.60;32.1;-1156;-0.89;-0.32;10.45;-43.64;1.33;-6.89;2.10;18.7;0.3
11963;2.70;31.5;0;-0.02;-0.38;10.65;-79.80;-8.27;-21.32;2.12;18.5;0.2
11983;2.80;31.5;-1119;-0.07;-0.40;10.60;-85.30;0.23;-19.17;2.13;18.2;0.3
12004;2.90;31.7;0;0.23;-0.34;10.61;-49.20;-0.07;-11.20;2.17;18.0;0.3
12024;3.00;31.5;-1094;0.46;-0.37;10.55;-14.87;3.62;-5.46;2.20;17.7;0.3
12045;3.10;31.2;0;1.19;-0.29;10.85;-36.88;0.57;-0.43;2.23;17.5;0.3
12065;3.20;31.1;-1056;-0.09;-0.38;10.57;-68.12;0.99;-8.38;2.26;17.3;0.3
12086;3.20;30.9;0;0.73;-0.37;10.68;-13.24;-12.49;-9.69;2.30;17.0;0.1
12106;3.30;30.9;-988;0.60;-0.31;10.71;-15.39;-0.69;-2.04;2.31;16.8;0.3
12127;3.40;30.6;0;-0.98;-0.27;10.32;-26.83;-1.53;-5.91;2.35;16.5;0.3
12147;3.50;30.8;-875;0.45;-0.34;10.60;-42.61;0.50;-7.20;2.38;16.2;0.1
12167;3.60;30.6;0;-0.20;-0.31;10.48;-34.35;-3.79;-9.86;2.41;16.1;0.1
12187;3.70;30.3;-838;0.30;-0.32;10.62;-35.78;3.06;-7.55;2.44;15.8;0.2
12208;3.80;30.2;0;-0.46;-0.33;10.39;-42.61;-0.71;-4.84;2.48;15.7;0.3
12228;3.90;30.2;-769;0.00;-0.27;10.59;-41.39;-2.49;-17.17;2.52;15.4;0.1
12249;4.00;30.1;0;-0.71;-0.30;10.43;-35.09;-4.62;-7.95;2.56;15.3;0.2
12269;4.10;29.8;-769;-0.56;-0.30;10.43;-10.22;-0.88;0.12;2.59;15.0;0.2
12290;4.10;29.6;0;0.05;-0.30;10.51;-7.39;-1.11;-3.43;2.63;14.9;0.2
12310;4.20;29.6;-719;-0.15;-0.33;10.50;-3.89;-0.65;-2.33;2.66;14.6;0.1
12331;4.30;29.5;0;0.45;-0.30;10.58;2.95;-5.60;-1.77;2.70;14.5;0.0
12351;4.40;29.2;-575;-0.45;-0.38;10.47;43.68;-2.81;4.61;2.74;14.3;0.1
12372;4.50;29.4;0;-0.07;-0.33;10.58;45.39;-0.66;12.61;2.78;14.2;0.2
12392;4.60;29.3;-538;0.59;-0.31;10.55;38.07;7.08;10.61;2.81;14.0;0.1
12413;4.60;28.8;0;-0.07;-0.36;10.43;42.45;2.76;10.51;2.87;13.8;0.1
12433;4.70;28.7;-500;0.17;-0.29;10.54;5.15;-2.54;3.32;2.91;13.6;0.1
12454;4.80;28.8;0;-0.41;-0.37;10.50;-69.24;1.34;-8.46;2.95;13.4;0.1
12474;4.90;28.7;-544;0.26;-0.41;10.60;-87.80;-1.91;-15.99;3.00;13.2;0.2
12495;5.00;28.5;0;0.07;-0.47;10.72;-107.19;-5.35;-21.24;3.04;13.1;0.1
12515;5.10;28.2;-494;0.47;-0.46;10.70;-102.52;-4.01;-26.99;3.08;12.9;0.0
12535;5.20;28.0;0;-0.36;-0.41;10.50;-97.64;4.58;-19.59;3.13;12.8;0.1
12555;5.30;27.8;-444;-0.36;-0.51;10.55;-107.81;-2.07;-19.79;3.17;12.7;0.1
12576;5.40;27.7;0;-0.25;-0.45;10.54;-93.74;-3.75;-19.94;3.22;12.4;0.1
12596;5.50;27.9;-400;-0.09;-0.42;10.51;-77.84;-8.10;-15.43;3.27;12.4;0.1
12617;5.60;27.6;0;-0.02;-0.24;10.55;-38.50;0.92;-1.80;3.31;12.2;0.1
12637;5.70;27.6;-375;0.03;-0.25;10.58;-17.97;3.12;-5.36;3.36;12.0;0.0
12658;5.80;27.2;0;-0.43;-0.31;10.40;-47.14;-0.30;-8.40;3.41;11.9;0.1
12678;5.90;27.0;-294;-0.21;-0.33;10.45;-49.10;-1.88;-9.34;3.45;11.8;0.1
12699;6.00;26.8;0;-0.35;-0.31;10.48;-54.51;-0.90;-12.56;3.51;11.6;0.0
12719;6.10;26.6;-244;0.18;-0.36;10.55;-64.41;-1.12;-14.69;3.57;11.5;0.1
12740;6.20;26.8;0;0.06;-0.34;10.52;-57.88;-1.33;-14.06;3.61;11.4;0.1
12760;6.30;26.6;-188;-0.00;-0.35;10.43;-55.64;0.93;-12.27;3.67;11.3;0.1
12781;6.40;26.6;0;-0.07;-0.38;10.55;-63.08;-0.68;-10.71;3.72;11.1;0.1
12801;6.50;26.3;-150;0.07;-0.40;10.52;-63.41;-0.65;-15.69;3.78;11.1;0.0
12822;6.60;25.9;0;-0.22;-0.35;10.57;-69.57;-1.49;-17.07;3.82;10.9;0.1
12842;6.70;26.0;-100;-0.11;-0.35;10.49;-72.68;-0.42;-16.91;3.87;10.8;0.0
12863;6.80;25.7;0;-0.02;-0.36;10.48;-65.84;-0.56;-13.08;3.92;10.7;0.0
12883;6.90;25.6;-63;0.04;-0.46;10.51;-75.64;0.02;-13.88;3.98;10.7;0.0
12903;7.00;25.4;0;0.13;-0.42;10.54;-90.90;0.54;-22.60;4.03;10.6;0.0
12924;7.10;25.5;-25;-0.06;-0.45;10.61;-96.97;-2.82;-20.68;4.09;10.4;0.0
12944;7.20;25.1;0;-0.17;-0.45;10.51;-105.52;-3.91;-21.89;4.16;10.3;0.0
12964;7.30;25.3;13;0.21;-0.41;10.56;-97.77;-6.75;-22.96;4.21;10.2;0.0
12985;7.40;25.2;0;-0.00;-0.47;10.60;-103.81;-3.24;-22.92;4.25;10.2;0.0
13005;7.50;24.7;50;-0.15;-0.47;10.54;-102.80;-2.44;-24.61;4.32;10.1;0.0
13026;7.60;24.5;0;0.01;-0.45;10.56;-94.77;-1.35;-17.66;4.36;10.0;0.1
13046;7.60;24.6;88;0.03;-0.41;10.55;-103.52;-2.64;-20.79;4.43;9.9;0.0
13067;7.80;24.6;0;-0.05;-0.49;10.54;-112.65;-0.60;-22.89;4.48;9.8;0.0
13087;7.80;24.5;125;-0.38;-0.54;10.50;-129.87;-4.53;-27.69;4.54;9.7;0.0
13108;8.00;24.4;0;0.20;-0.64;10.61;-137.12;-4.92;-31.19;4.61;9.7;0.0
13128;8.00;19.9;163;-0.07;-0.63;10.58;-147.44;-4.99;-32.48;4.66;9.5;0.0
13149;8.20;24.0;0;-0.18;-0.65;10.69;-150.37;-4.36;-33.74;4.71;9.5;0.0
13169;8.20;19.7;194;-0.09;-0.66;10.65;-161.87;-6.48;-34.49;4.78;9.4;0.0
13190;8.40;19.8;0;-0.09;-0.65;10.68;-157.49;-9.61;-37.17;4.83;9.4;0.0
13210;8.40;19.7;225;-0.33;-0.65;10.66;-161.63;-6.42;-36.14;4.90;9.2;0.0
13231;8.50;19.4;0;-0.03;-0.69;10.65;-164.17;-5.58;-36.10;4.95;9.2;0.0
13251;8.60;19.2;263;-0.26;-0.75;10.57;-167.91;-9.65;-37.32;5.01;9.0;0.0
13271;8.70;19.2;0;0.01;-0.69;10.74;-171.07;-4.49;-36.19;5.08;9.0;0.0
13292;8.80;19.2;294;-0.03;-0.71;10.65;-169.45;-9.78;-39.63;5.14;9.0;0.0
13312;8.90;19.1;0;-2.97;-2.26;9.69;-79.21;246.84;-249.25;5.20;9.0;0.0
13332;9.00;19.5;231;4.91;-0.30;11.46;-40.66;18.57;-12.63;5.27;9.7;0.0
13353;9.10;18.7;0;0.35;-1.76;10.72;254.90;-27.91;0.72;5.32;10.6;0.0
13373;9.20;18.6;-194;6.21;-1.05;11.53;-115.59;-70.95;24.11;5.37;11.6;0.1
13394;9.20;18.1;0;4.87;-0.81;10.72;153.08;-49.46;-51.49;5.43;12.8;0.2
13414;9.30;18.1;-469;6.08;-0.86;11.03;65.23;-88.40;-4.08;5.49;14.2;0.0
13435;9.40;17.3;0;4.55;-0.83;10.91;87.55;-86.21;17.02;5.56;15.6;0.0
13455;9.50;16.8;-813;4.95;-0.50;10.51;108.88;-23.40;-55.72;5.60;17.1;0.1
13476;9.50;16.5;0;2.99;-5.94;13.94;254.90;-1.20;42.74;5.65;18.6;0.1
13496;9.60;16.4;-1088;1.94;-0.68;10.43;72.69;-14.14;2.93;5.70;20.2;0.1
13517;9.60;16.4;0;3.46;0.01;10.36;-92.12;-14.25;46.44;5.74;21.7;0.1
13537;9.70;16.6;-1281;3.08;-0.59;10.88;-63.60;-15.89;-53.58;5.77;23.6;0.1
13558;9.70;16.0;0;2.75;-0.59;10.72;-64.01;18.38;-19.04;5.81;25.2;0.2
13578;9.70;15.4;-1381;1.75;-0.33;10.38;15.69;-24.55;-26.58;5.82;27.1;0.0
13599;9.70;15.3;0;3.43;-0.49;10.81;-32.00;12.63;-46.09;5.84;28.8;0.1
13619;9.70;15.0;-1431;2.12;-0.59;10.39;-5.96;5.35;-35.30;5.85;30.8;0.0
13640;9.70;14.3;0;4.14;-0.60;10.83;-25.84;30.40;-15.33;5.87;32.8;0.0
13660;9.70;14.0;-1619;1.28;-0.68;10.28;-38.18;36.78;-12.81;5.87;35.0;0.0
13680;9.60;13.7;0;3.27;-0.68;10.85;-85.35;28.73;-43.22;5.86;37.2;0.1
13700;9.50;13.6;-2000;0.10;-0.46;9.86;36.65;-7.64;0.14;5.85;39.5;0.0
13721;9.50;13.5;0;0.03;-0.72;10.12;-27.71;0.89;-23.51;5.83;41.1;0.0
13741;9.40;13.8;-2106;1.28;-0.46;9.98;5.77;22.73;13.45;5.81;43.4;0.0
13762;9.30;13.5;0;-0.41;0.05;9.81;-49.14;4.92;4.00;5.78;45.1;0.0
13782;9.20;13.7;-2313;2.29;-0.56;10.29;2.10;34.33;-9.72;5.76;47.3;0.0
13803;9.00;13.8;0;1.47;-0.14;9.96;-57.18;18.83;-16.79;5.72;49.3;0.0
13823;8.90;13.7;-2406;2.17;-0.25;10.89;17.94;-13.95;12.48;5.67;51.3;0.1
13844;8.80;14.3;0;-1.65;-0.72;9.48;10.16;2.02;-10.17;5.63;53.1;0.1
13864;8.60;14.1;-2425;0.62;-0.77;9.80;18.01;6.17;12.43;5.58;55.0;0.2
13885;8.40;14.2;0;0.12;-0.36;10.35;91.75;-1.78;-6.59;5.52;57.0;0.1
13905;8.30;14.5;-2663;-1.24;-0.49;9.55;82.13;-1.27;13.69;5.46;59.2;0.1
13926;8.10;14.6;0;4.83;-1.73;10.54;-20.01;6.86;-25.82;5.39;61.4;0.1
13946;7.90;14.4;-2881;-1.11;-0.15;9.72;-28.22;16.09;-0.09;5.33;63.4;0.1
13967;7.70;14.4;0;0.73;-0.55;10.55;-28.24;-13.76;-8.78;5.26;65.7;0.2
13987;7.50;14.5;-2950;-0.52;-0.48;9.99;-43.63;-8.45;4.83;5.19;67.7;0.2
14008;7.30;14.4;0;-0.88;-0.65;9.82;-15.87;1.74;15.94;5.11;69.9;0.1
14028;7.10;14.4;-3144;0.45;-0.13;9.96;-31.13;21.38;5.46;5.02;72.3;0.2
14048;6.90;14.5;0;0.90;-0.34;9.75;-107.14;-9.69;-4.79;4.94;74.6;0.2
14068;6.70;14.4;-3331;0.78;-0.69;10.26;-102.26;-2.01;-34.25;4.86;77.0;0.2
14089;6.50;14.4;0;-0.25;-0.57;10.22;73.13;-8.59;4.50;4.75;79.4;0.2
14109;6.30;14.4;-3325;-0.35;-0.29;9.59;20.26;7.35;9.37;4.65;81.7;0.2
14130;6.10;14.3;0;-0.28;-0.10;9.80;-49.62;13.36;-7.95;4.56;84.1;0.1
14150;6.00;14.2;-3419;0.52;-0.65;10.23;-22.66;-9.59;3.83;4.44;86.7;0.0
14171;5.80;14.3;0;-0.28;-0.52;9.69;114.12;3.49;23.15;4.33;89.1;0.0
14191;5.60;14.5;-3544;0.65;-0.65;10.29;-51.56;30.04;-6.66;4.23;91.8;0.0
14212;5.30;14.3;0;0.79;-0.06;10.10;-13.27;9.56;1.60;4.10;94.4;0.0
14232;5.20;14.3;-3413;-0.09;-0.49;10.18;-11.17;-2.81;-6.85;3.98;97.0;0.0
14253;5.00;14.6;0;-0.35;-0.53;10.34;-24.35;3.74;0.85;3.86;99.8;0.0
14273;4.80;14.2;-3525;1.39;-0.38;10.62;-20.06;-10.62;19.79;3.73;102.5;0.0
14294;4.50;14.3;0;-0.49;-0.45;10.20;-0.01;1.24;-8.78;3.60;105.3;0.0
14314;4.30;14.1;-3369;-0.79;-0.27;9.59;43.03;-1.23;15.18;3.46;108.0;0.0
14335;4.10;14.5;0;-0.21;-0.26;10.15;-6.57;-6.11;-5.58;3.33;110.8;0.0
14355;3.90;14.1;-3600;0.82;-0.19;9.91;-28.47;6.67;-12.78;3.20;113.7;0.0
14376;3.70;14.2;0;0.04;-0.54;10.20;-0.52;-14.47;-2.79;3.07;116.7;0.0
14396;3.50;14.5;-3688;-0.02;-0.21;10.27;11.45;-4.28;-10.87;2.95;119.7;0.0
14416;3.20;14.3;0;0.57;-0.56;10.26;-43.41;0.93;-5.37;2.80;122.6;0.0
14437;3.00;14.6;-3825;0.34;-0.61;9.96;-9.05;9.64;-4.02;2.66;125.5;0.0
14457;2.80;14.3;0;0.27;-0.61;10.21;20.78;-7.30;-0.40;2.52;128.3;0.0
14477;2.50;14.7;-3925;0.21;-0.70;10.38;-41.37;-6.67;-14.82;2.36;131.7;0.0
14498;2.30;14.6;0;0.23;-0.16;10.35;-31.50;6.11;3.67;2.23;134.5;0.0
14518;2.10;14.7;-3925;0.53;-0.62;10.48;-10.61;-2.81;5.50;2.08;137.8;0.0
14539;1.80;14.9;0;0.95;-0.57;10.45;-18.87;-18.91;1.05;1.93;140.8;0.0
14559;1.60;14.9;-3975;0.06;-0.30;9.81;47.57;1.67;7.09;1.78;144.3;0.0
14580;1.40;15.0;0;-0.40;-0.59;10.20;-11.24;-5.42;-20.24;1.64;147.4;0.0
14600;1.20;14.8;-3975;0.17;-0.65;10.29;15.84;-10.59;-1.53;1.48;150.6;0.0
14621;0.90;15.0;0;0.06;-0.47;10.27;-14.31;-9.74;0.70;1.32;154.0;0.0
14641;0.70;15.0;-3963;0.36;-0.63;10.11;46.15;-3.59;3.67;1.15;157.3;0.0
14662;0.50;15.0;0;0.82;-0.73;10.18;55.42;7.60;5.77;0.99;160.7;0.0
14682;0.30;14.9;-4169;0.77;-0.12;10.12;7.27;6.84;1.65;0.84;164.0;0.0
14703;0.10;15.3;0;-0.42;-0.09;9.94;13.98;0.02;3.99;0.67;167.5;0.0
14723;-0.10;15.1;-4013;-0.25;-0.07;10.13;-13.54;-0.92;1.91;0.54;170.9;0.0
14744;-0.30;15.3;0;0.70;-0.31;10.57;-16.48;-5.69;-10.09;0.38;174.3;0.0
14764;-0.50;15.1;-3950;0.39;-0.15;10.44;8.02;-0.78;13.63;0.21;178.0;0.0
14785;-0.70;15.4;0;-0.40;-0.58;10.35;30.36;2.79;3.79;0.07;181.2;0.0
